filename, language, XML, JSON, Markdown, PHP, Batch, CSS, JavaScript, YAML, Properties, HTML, comment, blank, total
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Remote\WebDriverCapabilityType.php, PHP, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 18, 4, 46
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Remote\WebDriverCommand.php, PHP, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 30, 7, 63
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Remote\WebDriverResponse.php, PHP, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 46, 13, 98
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Support\Events\EventFiringWebDriver.php, PHP, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 121, 45, 418
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Support\Events\EventFiringWebDriverNavigation.php, PHP, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 53, 20, 171
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Support\Events\EventFiringWebElement.php, PHP, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 122, 38, 415
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Support\XPathEscaper.php, PHP, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 23, 5, 46
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriver.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 103, 18, 144
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverAction.php, PHP, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 16, 3, 25
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverAlert.php, PHP, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 40, 12, 86
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverBy.php, PHP, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 82, 14, 148
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverCapabilities.php, PHP, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 40, 9, 60
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverCheckboxes.php, PHP, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 16, 11, 67
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverCommandExecutor.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 21, 4, 33
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverDimension.php, PHP, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 42, 7, 73
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverDispatcher.php, PHP, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 42, 13, 92
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverElement.php, PHP, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 99, 17, 136
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverEventListener.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 67, 18, 108
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverExpectedCondition.php, PHP, 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 222, 46, 595
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverHasInputDevices.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 22, 4, 33
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverKeyboard.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 33, 5, 46
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverKeys.php, PHP, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 23, 8, 120
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverMouse.php, PHP, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 42, 9, 67
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverNavigation.php, PHP, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 44, 13, 90
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverOptions.php, PHP, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 72, 21, 171
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverPlatform.php, PHP, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 18, 4, 38
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverPoint.php, PHP, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 46, 11, 94
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverRadios.php, PHP, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 16, 11, 66
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverSearchContext.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 34, 4, 45
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverSelect.php, PHP, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 28, 39, 259
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverSelectInterface.php, PHP, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 106, 16, 142
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverTargetLocator.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 48, 7, 65
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverTimeouts.php, PHP, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 37, 11, 84
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverUpAction.php, PHP, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 18, 6, 43
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverWait.php, PHP, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 38, 9, 87
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\WebDriverWindow.php, PHP, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 63, 19, 163
c:\xamppp\htdocs\petcustoms\vendor\myclabs\deep-copy\.github\FUNDING.yml, YAML, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 2, 13
c:\xamppp\htdocs\petcustoms\vendor\myclabs\deep-copy\README.md, Markdown, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 139, 376
c:\xamppp\htdocs\petcustoms\vendor\myclabs\deep-copy\composer.json, JSON, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
